What,Timestamp,Email Address,I enjoy reading the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught in the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend these notes to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I enjoy doing the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught through the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend the activities to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),How long do you think you spent on this lesson?,Please rate your overall experience. Is this experience satisfying?,Age,"Additional feedback. Please write down if you have some thoughts on what you like about the lesson, what you think could be improved or some other feedback. All feedback are welcomed! "
FBD-Lesson1,4/23/2021 20:14:44,,6,10,4,6,8,4,Less than 30 minutes,Satisfying,18,
FBD-Lesson1,6/22/2021 14:29:50,,10,10,6,8,8,6,Less than 30 minutes,Very satisfying,18,I like the images and the few short quizzes. 
FBD-Lesson1,7/14/2021 14:50:34,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,16,
FBD-Lesson1,7/31/2021 22:49:50,,10,10,8,8,8,6,Between 30 to 60 minutes,Very satisfying,13,thank you so much
FBD-Lesson1,8/2/2021 11:55,,10,10,10,8,10,10,Between 30 to 60 minutes,Very satisfying,17,"The lessons are really creative, and it attracts my attention as well! "
FBD-Lesson1,8/2/2021 21:19,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,16,So good. Lots of interesting pictures and I gain more acknowledge. Thank you :)
FBD-Lesson1,8/4/2021 12:46,,10,8,8,8,8,8,Between 30 to 60 minutes,Satisfying,14,
FBD-Lesson1,8/4/2021 13:00,,8,6,4,6,6,4,Less than 30 minutes,Satisfying,14,
FBD-Lesson1,8/5/2021 9:09,,10,10,8,10,10,8,Less than 30 minutes,Very satisfying,15,
FBD-Lesson1,8/5/2021 15:10,,10,6,10,10,8,10,Less than 30 minutes,Not sure,13,I gained so much information about the internet. Thank you for the information. 
FBD-Lesson1,8/5/2021 15:46,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,18,
FBD-Lesson1,8/5/2021 20:16,,8,10,10,10,10,10,Less than 30 minutes,Satisfying,13,Nothing. 
FBD-Lesson1,8/5/2021 20:19,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,13,Nope
FBD-Lesson1,8/5/2021 20:27,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,13,Nothing. 
FBD-Lesson1,8/5/2021 20:43,,10,10,10,10,10,10,Between 60 to 90 minutes,Satisfying,14,
FBD-Lesson1,8/5/2021 20:52,,10,8,8,6,8,6,Less than 30 minutes,Not sure,15,Something new
FBD-Lesson1,8/5/2021 21:13,,8,8,10,8,8,10,Between 60 to 90 minutes,Satisfying,13,THE BENEFITS OF USING THE INTERNET IN DAILY LIFE
FBD-Lesson1,8/5/2021 23:05,,8,10,8,8,6,8,Between 60 to 90 minutes,Satisfying,13,
FBD-Lesson1,8/6/2021 10:52,,10,10,8,10,8,10,Less than 30 minutes,Very satisfying,17,
FBD-Lesson1,8/6/2021 11:02,,10,8,10,10,8,10,Between 30 to 60 minutes,Satisfying,17,
FBD-Lesson1,8/6/2021 13:06,,8,8,6,8,8,6,Less than 30 minutes,Satisfying,14,
