What,Timestamp,Email Address,I enjoy reading the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught in the notes. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend these notes to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I enjoy doing the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I understand what was taught through the activities. (1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),I will recommend the activities to my friends.(1: Strongly disagree; 2: Disagree; 3: Not sure; 4: Agree; 5: Strongly agree),How long do you think you spent on this lesson?,Please rate your overall experience. Is this experience satisfying?,Age,"Additional feedback. Please write down if you have some thoughts on what you like about the lesson, what you think could be improved or some other feedback. All feedback are welcomed! "
FBD-Lesson5,4/23/2021 21:31:02,,8,8,8,8,8,6,Less than 30 minutes,Not sure,18,
FBD-Lesson5,8/3/2021 18:02,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,17,
FBD-Lesson5,8/3/2021 18:33,,8,8,10,6,6,8,Between 30 to 60 minutes,Not sure,17,
FBD-Lesson5,8/5/2021 21:09,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,13,Nothing
FBD-Lesson5,8/5/2021 22:27,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13, the lesson will be the transformer of a bad future into a bright future
FBD-Lesson5,8/5/2021 22:56,,8,6,8,8,6,8,Less than 30 minutes,Not satisfying,13,This lessons are nice 
FBD-Lesson5,8/6/2021 18:40,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson5,8/6/2021 22:51,,8,8,8,8,8,8,Less than 30 minutes,Satisfying,17,
FBD-Lesson5,8/6/2021 23:30,,8,8,8,8,8,10,Less than 30 minutes,Satisfying,17,
FBD-Lesson5,8/7/2021 11:50,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,17,
FBD-Lesson5,8/7/2021 13:48,,10,8,10,10,8,10,Between 60 to 90 minutes,Satisfying,17,
FBD-Lesson5,8/7/2021 16:51,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,14,
FBD-Lesson5,8/7/2021 17:18,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,It's simple and understandable 
FBD-Lesson5,8/7/2021 18:17,,10,10,10,10,10,10,Between 30 to 60 minutes,Satisfying,16,add background music
FBD-Lesson5,8/7/2021 19:17,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,13,This is already brilliant.Thank you!
FBD-Lesson5,8/7/2021 19:56,,10,10,10,10,8,8,Between 30 to 60 minutes,Satisfying,16,
FBD-Lesson5,8/7/2021 20:02,,10,10,10,8,8,8,Less than 30 minutes,Satisfying,13,"Wow ! I learnt to much today , I'm so delighted .Hope for more !"
FBD-Lesson5,8/7/2021 20:35,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,13,"Thanks for the slides, I had learned a lot."
FBD-Lesson5,8/7/2021 21:09,,10,10,10,10,10,10,Between 60 to 90 minutes,Very satisfying,14,
FBD-Lesson5,8/7/2021 21:29,,10,10,10,10,10,10,Less than 30 minutes,Very satisfying,13,I enjoyed it! 😊
FBD-Lesson5,8/7/2021 22:11,,10,10,10,10,10,10,Less than 30 minutes,Satisfying,13,Good!
FBD-Lesson5,8/8/2021 8:31,,10,10,10,10,10,10,More than 90 minutes,Very satisfying,13,I like the lesson.
FBD-Lesson5,8/8/2021 10:16,,6,6,6,6,6,6,Between 30 to 60 minutes,Not sure,17,
FBD-Lesson5,8/8/2021 15:01,,8,8,8,8,8,8,Between 60 to 90 minutes,Satisfying,16,
FBD-Lesson5,8/8/2021 15:33,,10,10,10,10,10,10,Between 30 to 60 minutes,Very satisfying,16,
